,Unnecessary Copy,copyParticleData,computeMinMax,computeCellInformation,Execute kNeighborCount,Execute exclusive_scan over counts,Execute kNeighborhoodQueryWithCounts,Compute neighbors,Neighbor copy from device to host - resize,Count copy from device to host - resize,Count copy from device to host - MemcpyDeviceToHost,Neighbor & Offset copy from device to host - MemcpyDeviceToHost,Run hipNSearch,neighborhood search,constraint projection,XSPH viscosity computation,SimStep
208,0.0505,0.2826,0.4408,0.3459,0.2511,0.1923,0.2684,0.7209,0.0002,0.0002,0.0758,0.29,2.1777,2.2332,10.7808,1.1596,14.3918
209,0.0473,0.3106,0.4824,0.332,0.2671,0.186,0.2804,0.7421,0.0003,0.0002,0.0745,0.2957,2.2541,2.3049,8.6731,1.1614,12.3529
210,0.0452,0.3862,0.4864,0.3545,0.2599,0.2254,0.2801,0.7752,0.0003,0.0001,0.0835,0.2862,2.3932,2.4419,8.6651,1.1624,12.475
211,0.0539,0.358,0.4736,0.3426,0.2635,0.1842,0.2754,0.7292,0.0002,0.0001,0.0659,0.2629,2.2512,2.3106,8.59,1.1503,12.2579
212,0.0454,0.3368,0.4844,0.3447,0.2651,0.1809,0.276,0.7289,0.0003,0.0001,0.0908,0.2787,2.2851,2.3338,8.4923,1.141,12.1708
213,0.0457,0.3539,0.4729,0.3031,0.2566,0.1678,0.2778,0.7081,0.0003,0.0002,0.0908,0.2869,2.2261,2.2751,8.5851,1.1504,12.2143
214,0.0461,0.2708,0.4793,0.3443,0.2617,0.1805,0.2754,0.7235,0.0002,0.0001,0.0895,0.2692,2.2002,2.2495,8.6372,1.1582,12.25
215,0.0459,0.3918,0.4831,0.3165,0.2703,0.1809,0.2787,0.737,0.0003,0.0002,0.0698,0.2852,2.3014,2.3505,8.6057,1.243,12.4016
216,0.0567,0.356,0.4667,0.3375,0.2572,0.1745,0.2703,0.7113,0.0003,0.0002,0.069,0.3102,2.2728,2.3343,14.0004,1.9367,18.4914
217,0.0457,0.4386,0.4745,0.3082,0.26,0.1755,0.2741,0.7131,0.0002,0.0002,0.0634,0.2762,2.2837,2.3326,9.2828,1.1518,12.9716
218,0.0454,0.368,0.4802,0.3175,0.2589,0.1754,0.2714,0.7135,0.0002,0.0001,0.0697,0.2787,2.2519,2.3006,8.6752,1.1582,12.3381
219,0.0457,0.3631,0.4808,0.3089,0.257,0.2074,0.2745,0.7421,0.0002,0.0002,0.0706,0.2757,2.2547,2.3037,8.6576,1.1507,12.3156
220,0.0457,0.3706,0.4679,0.3113,0.2603,0.2107,0.2794,0.7534,0.0002,0.0001,0.0613,0.2769,2.2495,2.2981,8.5911,1.1456,12.2382
221,0.0456,0.37,0.4683,0.3069,0.2584,0.1663,0.269,0.6967,0.0002,0.0001,0.0754,0.2745,2.2002,2.2486,8.5585,1.1521,12.1604
222,0.0455,0.3374,0.4593,0.319,0.2582,0.2132,0.2798,0.7541,0.0002,0.0002,0.0715,0.2689,2.2193,2.2675,8.829,1.1566,12.4592
223,0.0458,0.3764,0.4785,0.3231,0.2746,0.1883,0.2802,0.7518,0.0002,0.0002,0.0836,0.2811,2.3159,2.3651,8.658,1.1562,12.3868
224,0.0474,0.285,0.4396,0.3138,0.2558,0.2184,0.2699,0.7482,0.0002,0.0002,0.0668,0.284,2.1518,2.2037,13.3408,1.1576,16.9045
225,0.0451,0.3848,0.496,0.3336,0.2598,0.1779,0.2816,0.7255,0.0002,0.0002,0.0739,0.282,2.3172,2.3657,8.575,1.146,12.2933
226,0.0461,0.3783,0.4878,0.3323,0.2565,0.1822,0.2751,0.7224,0.0002,0.0002,0.0971,0.2801,2.3159,2.3656,8.4961,1.1372,12.2031
227,0.0454,0.3358,0.4718,0.3124,0.2568,0.2121,0.2745,0.7465,0.0002,0.0001,0.0782,0.2747,2.2319,2.2808,8.5661,1.1501,12.2024
228,0.0462,0.3452,0.4873,0.3492,0.2646,0.1832,0.2771,0.7315,0.0001,0.0002,0.0862,0.2745,2.2939,2.3434,8.5921,1.1507,12.2896
229,0.0457,0.3057,0.4829,0.3205,0.2659,0.1797,0.2771,0.73,0.0003,0.0002,0.0787,0.292,2.2323,2.2809,8.5778,1.1513,12.2145
230,0.0459,0.3526,0.4793,0.3498,0.2628,0.1841,0.2775,0.7305,0.0003,0.0002,0.0654,0.2809,2.2774,2.3264,8.5446,1.1401,12.2171
231,0.0452,0.3463,0.4884,0.3411,0.2611,0.1919,0.2834,0.7441,0.0002,0.0001,0.085,0.2754,2.2982,2.3467,8.5542,1.1611,12.2655
232,0.0541,0.2932,0.467,0.3319,0.2493,0.1872,0.2725,0.7171,0.0003,0.0002,0.0653,0.2782,2.1732,2.2323,12.0195,1.159,15.6318
233,0.0474,0.3788,0.491,0.3317,0.2625,0.1824,0.2841,0.7367,0.0002,0.0001,0.0704,0.2843,2.3133,2.3643,9.5731,1.1388,13.2907
234,0.0457,0.3968,0.4774,0.3128,0.2617,0.1585,0.2769,0.7002,0.0002,0.0002,0.0735,0.2782,2.2483,2.2972,8.4961,1.1473,12.1432
235,0.0459,0.3734,0.4717,0.3177,0.2643,0.2134,0.2792,0.7599,0.0002,0.0001,0.0682,0.2606,2.2631,2.312,8.5886,1.1558,12.2584
236,0.0465,0.3417,0.4727,0.3101,0.2582,0.1681,0.2742,0.7035,0.0002,0.0002,0.0699,0.2612,2.1673,2.2167,8.5185,1.1361,12.0751
237,0.0456,0.3675,0.4769,0.3128,0.261,0.1692,0.2789,0.712,0.0002,0.0002,0.0606,0.2622,2.1996,2.2478,8.5937,1.1562,12.1983
238,0.0448,0.3559,0.4711,0.3122,0.2572,0.2114,0.2774,0.749,0.0002,0.0001,0.0603,0.2664,2.2227,2.2701,8.5404,1.1441,12.1561
239,0.0453,0.3419,0.4699,0.3332,0.2561,0.1658,0.2865,0.7116,0.0002,0.0001,0.087,0.2682,2.2253,2.2734,8.5427,1.1509,12.1673
240,0.0474,0.293,0.4419,0.3252,0.2513,0.1727,0.2714,0.6998,0.0002,0.0002,0.0755,0.2729,2.1237,2.1754,12.0252,1.1758,15.5826
241,0.0473,0.4178,0.4964,0.3327,0.2618,0.1865,0.28,0.7357,0.0003,0.0001,0.0759,0.2789,2.356,2.4071,8.589,1.1467,12.358
242,0.0483,0.3593,0.4873,0.3428,0.257,0.2203,0.2759,0.7565,0.0002,0.0001,0.0735,0.2773,2.3171,2.3688,9.1569,1.1486,12.8859
243,0.0454,0.4024,0.4717,0.32,0.259,0.1664,0.2784,0.707,0.0002,0.0002,0.081,0.2667,2.2581,2.3067,8.6497,1.1633,12.3268
