,Unnecessary Copy,copyParticleData,computeMinMax,computeCellInformation,Execute kNeighborCount,Execute exclusive_scan over counts,Execute kNeighborhoodQueryWithCounts,Compute neighbors,Neighbor copy from device to host - resize,Count copy from device to host - resize,Count copy from device to host - MemcpyDeviceToHost,Neighbor & Offset copy from device to host - MemcpyDeviceToHost,Run hipNSearch,neighborhood search,constraint projection,XSPH viscosity computation,SimStep
189,0.0197,0.297,0.2764,0.3054,0.2091,0.221,0.2181,0.653,0.0002,0.0001,0.0698,0.1745,1.7862,1.8083,2.4899,0.3278,4.6906
190,0.0204,0.2937,0.3009,0.3143,0.217,0.1738,0.2192,0.6147,0.0002,0.0002,0.0695,0.1715,1.7781,1.801,2.4897,0.3421,4.6991
191,0.0195,0.2986,0.2848,0.3017,0.2134,0.1742,0.2225,0.6144,0.0002,0.0001,0.0665,0.167,1.7449,1.7668,2.4838,0.3259,4.6421
192,0.0216,0.2458,0.2903,0.3076,0.2053,0.2281,0.2175,0.657,0.0002,0.0001,0.0703,0.1833,1.7677,1.7937,3.1155,0.3445,5.323
193,0.0213,0.3063,0.2909,0.31,0.2202,0.2225,0.2215,0.6697,0.0002,0.0002,0.0678,0.1846,1.8436,1.8682,3.2226,0.3273,5.4879
194,0.02,0.3006,0.2846,0.305,0.2061,0.1735,0.22,0.6042,0.0001,0.0002,0.0679,0.1748,1.7488,1.7714,2.6099,0.3341,4.7796
195,0.0202,0.2928,0.2916,0.3093,0.2069,0.2217,0.2194,0.6524,0.0002,0.0002,0.0691,0.1799,1.8071,1.83,2.4985,0.3298,4.7241
196,0.02,0.3046,0.294,0.2968,0.217,0.1789,0.2175,0.6182,0.0002,0.0001,0.0599,0.1769,1.7666,1.7898,2.514,0.3318,4.7011
197,0.02,0.2938,0.2894,0.3028,0.2094,0.2114,0.2182,0.644,0.0002,0.0001,0.0651,0.177,1.7831,1.8059,2.539,0.3412,4.7512
198,0.0202,0.307,0.2917,0.3126,0.2128,0.1733,0.2114,0.602,0.0002,0.0002,0.0765,0.1818,1.7839,1.8068,2.4916,0.3273,4.6917
199,0.0205,0.2989,0.2923,0.3403,0.2146,0.1845,0.217,0.6212,0.0002,0.0002,0.0688,0.1751,1.8071,1.8302,2.5034,0.3288,4.7268
200,0.0249,0.2496,0.3168,0.3345,0.2069,0.2244,0.2069,0.6443,0.0003,0.0002,0.07,0.2118,1.8436,1.873,2.8928,0.3369,5.1776
201,0.0208,0.3063,0.2962,0.307,0.21,0.18,0.219,0.6156,0.0003,0.0002,0.0792,0.1729,1.7926,1.8322,3.1045,0.332,5.3412
202,0.0199,0.3091,0.2953,0.3075,0.2115,0.1741,0.218,0.6089,0.0002,0.0001,0.069,0.1888,1.7955,1.8189,2.6727,0.3253,4.8891
203,0.0207,0.3188,0.2893,0.3117,0.2061,0.2191,0.2143,0.6434,0.0002,0.0001,0.0669,0.1811,1.8217,1.8453,2.4682,0.3299,4.7086
204,0.0199,0.2975,0.2936,0.3072,0.2115,0.174,0.2186,0.6076,0.0002,0.0001,0.0783,0.1844,1.7784,1.8009,2.5064,0.3319,4.7045
205,0.0199,0.301,0.2927,0.2931,0.2071,0.1661,0.2147,0.5913,0.0002,0.0002,0.0737,0.175,1.7396,1.7622,2.4909,0.3324,4.6497
206,0.0208,0.2945,0.2894,0.3052,0.2068,0.1778,0.2186,0.6084,0.0001,0.0002,0.0622,0.166,1.7363,1.7596,2.5088,0.3251,4.6598
207,0.0203,0.3012,0.288,0.3139,0.2111,0.1789,0.219,0.6146,0.0002,0.0001,0.0766,0.1817,1.7947,1.818,2.5044,0.3281,4.7157
208,0.0194,0.1502,0.2977,0.3294,0.1993,0.2323,0.2083,0.6485,0.0002,0.0002,0.0714,0.1726,1.6863,1.7102,3.0223,0.3341,5.1316
209,0.0192,0.301,0.2853,0.31,0.2088,0.1815,0.2153,0.613,0.0003,0.0002,0.0702,0.1762,1.7735,1.7955,3.7082,0.3174,5.8859
210,0.019,0.2988,0.306,0.3146,0.2028,0.2154,0.2154,0.6412,0.0002,0.0001,0.0678,0.1755,1.8248,1.8467,2.4889,0.3273,4.7281
211,0.0196,0.2941,0.2892,0.3045,0.2059,0.1769,0.2141,0.6019,0.0002,0.0001,0.0688,0.1735,1.7441,1.7666,2.5005,0.3347,4.667
212,0.0242,0.2949,0.2862,0.298,0.2029,0.1713,0.2067,0.5856,0.0002,0.0001,0.0719,0.1806,1.7279,1.7548,2.5029,0.333,4.6555
