,Unnecessary Copy,copyParticleData,computeCellInformation,Execute kNeighborCount,Execute exclusive_scan over counts,Execute kNeighborhoodQueryWithCounts,Compute neighbors,Neighbor copy from device to host - resize,Count copy from device to host - resize,Count copy from device to host - MemcpyDeviceToHost,Neighbor & Offset copy from device to host - MemcpyDeviceToHost,Run hipNSearch,neighborhood search,constraint projection,XSPH viscosity computation,SimStep
243,0.0191,0.272,0.3408,0.208,0.1842,0.2157,0.6171,0.0003,0.0002,0.0722,0.1812,1.4988,1.5207,2.4903,0.3224,4.4049
244,0.0193,0.2787,0.4052,0.2086,0.2373,0.2125,0.668,0.0003,0.0002,0.0848,0.1826,1.6341,1.6563,2.4559,0.3167,4.5001
245,0.0188,0.274,0.3523,0.2037,0.2225,0.216,0.651,0.0003,0.0002,0.0829,0.1764,1.5512,1.5728,2.4679,0.325,4.4371
246,0.019,0.2746,0.3396,0.2067,0.1767,0.2168,0.608,0.0003,0.0002,0.0701,0.1769,1.4831,1.5049,2.4582,0.3162,4.3502
247,0.0188,0.2722,0.3256,0.2113,0.1758,0.2168,0.6089,0.0002,0.0002,0.0761,0.1817,1.4774,1.4991,2.4836,0.3224,4.3761
248,0.0195,0.2834,0.3759,0.1961,0.19,0.2061,0.5982,0.0003,0.0001,0.0761,0.1837,1.537,1.5608,3.6275,0.3644,5.6283
249,0.0188,0.279,0.3494,0.2074,0.2388,0.215,0.67,0.0003,0.0002,0.09,0.1773,1.5987,1.6203,2.5812,0.3259,4.5994
250,0.0189,0.2855,0.3432,0.2021,0.1689,0.2141,0.5883,0.0002,0.0002,0.0685,0.1693,1.4682,1.4897,2.5477,0.3235,4.4378
251,0.0204,0.2759,0.3223,0.2073,0.1735,0.2091,0.5932,0.0002,0.0001,0.0655,0.1774,1.4482,1.4718,2.6787,0.3271,4.5549
252,0.0194,0.2783,0.3421,0.2117,0.1821,0.2127,0.6136,0.0003,0.0001,0.0724,0.1732,1.4979,1.5203,2.4453,0.3134,4.3504
253,0.0197,0.2722,0.3454,0.2072,0.1891,0.2119,0.6144,0.0002,0.0002,0.0807,0.185,1.5131,1.5356,2.511,0.3201,4.4402
254,0.0196,0.2808,0.3344,0.2119,0.1807,0.2117,0.6119,0.0002,0.0001,0.0757,0.1832,1.5026,1.5251,2.4364,0.3207,4.3538
255,0.0197,0.2773,0.3185,0.2052,0.172,0.2118,0.5925,0.0002,0.0002,0.068,0.161,1.4263,1.4487,2.4257,0.316,4.2612
256,0.0201,0.2654,0.3601,0.1954,0.184,0.217,0.6027,0.0003,0.0001,0.0666,0.1638,1.4716,1.496,3.1042,0.3183,4.9965
257,0.0199,0.2877,0.349,0.2169,0.1843,0.2211,0.6269,0.0002,0.0002,0.072,0.1858,1.5322,1.5548,2.5609,0.3215,4.5127
258,0.0205,0.2726,0.325,0.216,0.1782,0.2173,0.6165,0.0003,0.0002,0.0643,0.1775,1.4649,1.4881,2.575,0.3204,4.459
259,0.0202,0.2822,0.3331,0.2084,0.1789,0.218,0.6097,0.0002,0.0002,0.0747,0.1765,1.4864,1.5092,2.5838,0.3213,4.4902
260,0.0199,0.2895,0.3293,0.2135,0.1783,0.2143,0.61,0.0002,0.0002,0.0704,0.1733,1.4828,1.5052,2.945,0.3156,4.8395
261,0.0244,0.2953,0.3176,0.2079,0.1663,0.2151,0.5922,0.0002,0.0001,0.0781,0.1745,1.4669,1.494,2.449,0.3122,4.3303
262,0.0198,0.275,0.3139,0.2038,0.1679,0.2145,0.5895,0.0002,0.0002,0.0647,0.1725,1.4281,1.4505,2.429,0.3172,4.2678
