,Unnecessary Copy,copyParticleData,computeCellInformation,Execute kNeighborCount,Execute exclusive_scan over counts,Execute kNeighborhoodQueryWithCounts,Compute neighbors,Neighbor copy from device to host - resize,Count copy from device to host - resize,Count copy from device to host - MemcpyDeviceToHost,Neighbor & Offset copy from device to host - MemcpyDeviceToHost,Run hipNSearch,neighborhood search,constraint projection,XSPH viscosity computation,SimStep
314,1.4017,2.3864,1.1743,9.8718,0.2219,6.177,16.282,0.0003,0.0002,0.3149,7.2889,27.4677,28.8778,628.464,99.2946,772.59
315,1.4187,2.1421,0.8559,10.1975,0.1833,7.6601,18.0511,0.0002,0.0002,0.3178,7.2882,28.6767,30.1057,627.334,99.6535,773.068
316,1.4149,2.0923,0.8792,10.1295,0.1707,7.6124,17.9234,0.0003,0.0001,0.3089,7.288,28.5111,29.9353,629.955,100.971,776.855
317,1.4327,2.3513,1.3814,9.7462,0.2254,6.7205,16.7039,0.0003,0.0002,0.3139,7.2858,28.0542,29.4952,625.878,99.6757,771.234
318,1.454,2.2206,0.8124,9.5108,0.1881,6.1882,15.8993,0.0002,0.0002,0.3218,7.2885,26.5628,28.0269,630.663,99.5523,774.366
319,1.4294,2.1498,0.8691,10.1665,0.231,7.6252,18.0346,0.0002,0.0002,0.325,7.2933,28.689,30.1281,629.042,99.4946,774.629
320,1.2954,1.7352,1.0839,9.966,0.2374,6.0912,16.3032,0.0002,0.0001,0.3706,7.3059,26.8072,28.1124,625.085,99.1659,766.452
321,1.4261,2.461,0.8163,9.5778,0.1766,6.1701,15.9362,0.0003,0.0002,0.3221,7.2841,26.8422,28.2785,627.073,99.3304,770.599
322,1.4286,2.3901,0.8615,10.3658,0.2316,7.7427,18.3495,0.0002,0.0002,0.3265,7.2927,29.2431,30.681,628.26,99.6182,774.61
323,1.4369,2.2425,0.8871,10.2617,0.2377,7.6823,18.1909,0.0002,0.0001,0.3228,7.2896,28.9549,30.4063,627.305,99.4907,773.217
