,Unnecessary Copy,Copy to GPU,Arrange data,Full count array and resize neighbour array,Execute kncomputeNeighboursCount and resize neighbour offsets,Execute exclusive_scan over counts,Count resize,Set inverse offsets and counts,Execute kncomputeNeighbours,Neighbour resize,Inverse particle indexes,Copy neighbour data to CPU,Compute neighbours,neighborhood search, constraint projection,XSPH viscosity computation,SimStep
412,0.0061,0.2081,0.577,0.0592,0.0026,0.2794,0.0001,0.0538,0.1262,0.0002,0.1337,0.2404,0.9172,1.7195,2.1999,0.3042,4.2921
413,0.006,0.2019,0.5857,0.0591,0.0036,0.2807,0.0001,0.0463,0.1217,0.0002,0.1292,0.2353,0.896,1.6981,2.2074,0.3078,4.2834
414,0.0061,0.21,0.5729,0.0556,0.0037,0.2471,0.0001,0.0705,0.1277,0.0002,0.0829,0.2427,0.8524,1.6514,2.236,0.3034,4.2593
415,0.006,0.21,0.568,0.0535,0.0028,0.2815,0.0001,0.0449,0.1262,0.0002,0.1243,0.247,0.8912,1.6805,2.1957,0.3073,4.253
416,0.0059,0.1675,0.569,0.0622,0.0016,0.2739,0.0001,0.0446,0.1197,0.0002,0.1257,0.2334,0.8704,1.6208,3.9913,0.3039,5.9912
417,0.0059,0.2209,0.5788,0.0596,0.0028,0.2811,0.0001,0.0444,0.1303,0.0003,0.1288,0.2565,0.9246,1.7397,2.3366,0.3113,4.4634
418,0.0063,0.2153,0.5741,0.0569,0.0017,0.2855,0.0001,0.05,0.1275,0.0002,0.1247,0.2438,0.9085,1.7134,2.3464,0.3097,4.4438
419,0.0062,0.2104,0.5671,0.0576,0.002,0.2913,0.0001,0.0544,0.1264,0.0002,0.136,0.239,0.9272,1.7203,2.372,0.3128,4.4796
420,0.0061,0.2089,0.5989,0.058,0.0024,0.2793,0.0001,0.0488,0.1238,0.0001,0.1262,0.2497,0.9084,1.7307,2.3664,0.3134,4.487
421,0.0062,0.207,0.5879,0.0567,0.0025,0.2926,0,0.0519,0.1319,0.0002,0.129,0.2493,0.9345,1.7443,2.3203,0.313,4.4515
422,0.0065,0.2108,0.5714,0.059,0.0023,0.295,0.0001,0.0474,0.1285,0.0002,0.1261,0.2348,0.9089,1.7067,2.3612,0.3131,4.4557
423,0.0061,0.2159,0.584,0.0623,0.0034,0.2898,0.0001,0.053,0.1302,0.0002,0.1216,0.2342,0.9168,1.7351,2.2853,0.3085,4.3981
424,0.0068,0.176,0.5946,0.07,0.0036,0.2328,0.0001,0.0542,0.1224,0.0002,0.0902,0.2415,0.836,1.6247,3.8403,0.3145,5.8568
425,0.006,0.2158,0.5926,0.0557,0.0038,0.2322,0.0001,0.053,0.1258,0.0002,0.0798,0.2478,0.8152,1.6403,2.2566,0.3188,4.2842
