,Unnecessary Copy,Copy to GPU,Arrange data,Full count array and resize neighbour array,Execute kncomputeNeighboursCount and resize neighbour offsets,Execute exclusive_scan over counts,Count resize,Count GPU to CPU,Execute kncomputeNeighbours,Neighbour resize,Copy neighbour & offset to CPU,Compute neighbours,Copy sorting indexes to CPU,neighborhood search, constraint projection,XSPH viscosity computation,SimStep
157,0.0395,0.486,1.0527,0.0514,0.0018,0.2754,0.0001,0.0901,0.2127,0.0002,0.4881,1.1392,0.1485,2.8791,22.5475,2.9064,28.8013
158,0.0389,0.4365,1.0544,0.0576,0.0037,0.3282,0.0001,0.083,0.2131,0.0002,0.4689,1.1741,0.1526,2.8712,22.4309,2.9002,28.6801
159,0.0405,0.3217,1.0517,0.0531,0.0023,0.2783,0.0001,0.0923,0.2131,0.0002,0.4657,1.1227,0.1476,2.6985,22.4592,2.8991,28.5376
160,0.0423,0.2349,1.0521,0.055,0.0026,0.2882,0.0001,0.0878,0.2004,0.0002,0.4843,1.138,0.1585,2.6419,25.8528,2.8964,31.8367
161,0.0424,0.325,1.0605,0.0549,0.0023,0.2954,0.0001,0.0836,0.2083,0.0002,0.4793,1.1433,0.1627,2.7486,23.0798,2.9002,29.2117
162,0.0414,0.273,1.0358,0.0526,0.002,0.2798,0.0001,0.0803,0.2083,0.0003,0.4917,1.1317,0.1446,2.637,22.32,2.8842,28.3116
163,0.0402,0.3168,1.0417,0.0558,0.0035,0.3656,0.0001,0.1004,0.218,0.0002,0.4738,1.2343,0.157,2.8023,22.4215,2.8978,28.5941
164,0.0413,0.3241,1.076,0.0523,0.003,0.2701,0.0001,0.0815,0.215,0.0002,0.4708,1.111,0.1559,2.7216,22.3661,2.9047,28.4633
165,0.0421,0.3271,1.0319,0.0542,0.0018,0.28,0.0001,0.0816,0.2119,0.0002,0.4604,1.0998,0.1546,2.6665,22.4055,2.9358,28.4901
166,0.0451,0.3551,1.0532,0.0631,0.0031,0.28,0.0001,0.0908,0.2128,0.0002,0.4722,1.1412,0.1628,2.7881,22.7962,2.9014,28.9697
167,0.0394,0.3205,1.0382,0.0515,0.0014,0.2574,0.0001,0.0724,0.2014,0.0001,0.4733,1.0673,0.1488,2.6259,23.0128,2.9203,29.0309
168,0.0597,0.2315,1.0415,0.0585,0.0024,0.2727,0.0001,0.084,0.2002,0.0003,0.4697,1.1069,0.1406,2.5961,32.1876,2.9236,38.1765
169,0.0414,0.3255,1.0405,0.0553,0.0016,0.2821,0.0002,0.0852,0.2133,0.0001,0.48,1.1345,0.1556,2.7085,22.3384,2.9076,28.4274
170,0.0412,0.3351,1.0508,0.0554,0.0016,0.2749,0.0001,0.0825,0.2104,0.0002,0.4684,1.1041,0.1385,2.6825,22.2528,2.8966,28.3032
171,0.0405,0.3412,1.0261,0.0518,0.0015,0.3177,0.0001,0.0947,0.2125,0.0001,0.4729,1.1628,0.1552,2.7359,22.3279,2.8986,28.4304
172,0.0384,0.3257,1.0202,0.0543,0.0016,0.3191,0.0001,0.0719,0.2056,0.0002,0.4609,1.1245,0.1501,2.6698,22.3749,2.9059,28.4225
173,0.0412,0.3812,1.0393,0.0516,0.0016,0.326,0.0001,0.0928,0.2145,0.0002,0.4687,1.1666,0.1521,2.7897,22.4972,2.9018,28.6637
174,0.0407,0.3327,1.0137,0.0548,0.0016,0.2626,0.0001,0.0785,0.2056,0.0001,0.4686,1.0837,0.1506,2.6326,22.247,2.9076,28.2599
175,0.039,0.3365,1.0431,0.0564,0.0038,0.3332,0.0001,0.0857,0.2069,0.0001,0.4629,1.166,0.1493,2.7505,22.4536,2.9236,28.5966
176,0.0597,0.1404,1.0389,0.0531,0.0021,0.2754,0.0001,0.0767,0.2156,0.0002,0.4649,1.1074,0.1444,2.509,25.216,2.9016,31.1043
177,0.0399,0.2743,1.0643,0.0556,0.0023,0.3352,0.0001,0.0734,0.2078,0.0001,0.4595,1.152,0.1511,2.6928,22.3956,2.9123,28.4982
178,0.0426,0.3237,1.0431,0.0532,0.0019,0.3216,0.0001,0.0929,0.2165,0.0002,0.4676,1.1712,0.144,2.7363,22.3055,2.9027,28.4273
179,0.0404,0.4131,1.0481,0.0534,0.0051,0.2862,0.0001,0.0865,0.2148,0.0002,0.4728,1.1376,0.1468,2.801,22.8823,2.8945,29.053
180,0.0383,0.324,1.0475,0.0539,0.0017,0.3248,0.0001,0.0852,0.21,0.0002,0.4862,1.1791,0.1637,2.765,22.3282,2.9155,28.4786
181,0.0405,0.3353,1.0297,0.0511,0.0022,0.2762,0.0001,0.0903,0.2138,0.0002,0.4845,1.1378,0.1465,2.7026,24.2548,2.9152,30.3425
182,0.0378,0.2685,1.0667,0.0571,0.0036,0.3243,0.0001,0.0754,0.2099,0.0002,0.4745,1.1623,0.1544,2.7045,22.2522,2.9283,28.3626
