,Unnecessary Copy,Copy to GPU,Arrange data,Full count array and resize neighbour array,Execute kncomputeNeighboursCount and resize neighbour offsets,Execute exclusive_scan over counts,Count resize,Set inverse offsets and counts,Execute kncomputeNeighbours,Neighbour resize,Inverse particle indexes,Copy neighbour data to CPU,Compute neighbours,neighborhood search, constraint projection,XSPH viscosity computation,SimStep
510,0.0959,0.8516,2.4238,0.0515,0.0016,0.3949,0.0002,0.0586,0.4485,0.0003,1.1556,1.2545,3.3865,6.7698,77.3391,17.8542,103.706
511,0.1241,0.9375,2.4051,0.0606,0.0038,0.4345,0.0002,0.0516,0.4444,0.0002,1.2177,1.2611,3.4965,6.9767,76.0499,9.8124,94.5487
512,0.1454,0.3261,2.2997,0.0599,0.0027,0.3769,0.0001,0.068,0.4357,0.0003,1.164,1.252,3.3836,6.1703,80.5558,9.7578,98.3288
513,0.1088,0.8466,2.595,0.0538,0.003,0.4032,0.0001,0.0601,0.4514,0.0002,1.2104,1.2678,3.4741,7.0376,72.4935,9.8592,91.1446
514,0.1038,0.8621,2.6243,0.0617,0.0019,0.3952,0.0001,0.0579,0.4463,0.0002,1.1617,1.2545,3.3956,6.9978,72.8122,9.8928,91.438
515,0.1016,0.7963,2.648,0.0599,0.0019,0.3863,0.0001,0.0582,0.4498,0.0002,1.1551,1.2823,3.4149,6.9714,73.1865,9.7685,91.682
516,0.1003,0.9246,2.4036,0.0527,0.0037,0.3897,0.0002,0.0624,0.4584,0.0002,1.1729,1.2568,3.4182,6.8589,72.283,9.7774,90.661
517,0.0986,0.8754,2.4749,0.0653,0.0019,0.4205,0.0001,0.0573,0.4458,0.0001,1.2262,1.2519,3.4858,6.9482,73.091,9.7289,91.5048
518,0.1239,0.8605,2.3825,0.0606,0.0017,0.3875,0.0001,0.0613,0.4644,0.0002,1.1841,1.2517,3.4352,6.8146,72.6187,9.86,91.0078
519,0.097,0.8572,2.3479,0.0563,0.0015,0.4254,0,0.0549,0.4571,0.0001,1.208,1.2497,3.4677,6.7818,72.2807,9.7729,90.5825
