Unnecessary Copy,copyParticleData,computeCellInformation,Execute kNeighborCount,Execute exclusive_scan over counts,Execute kNeighborhoodQueryWithCounts,Overhead,Compute neighbors,Neighbor copy from device to host - resize,Count copy from device to host - resize,Count copy from device to host - MemcpyDeviceToHost,Neighbor & Offset copy from device to host - MemcpyDeviceToHost,Overhead,Run hipNSearch,Overhead,neighborhood search,constraint projection,XSPH viscosity computation,Overhead,SimStep
1.4096,2.483,1.1481,8.1063,0.3467,4.6573,,13.1178,0.0004,0.0002,0.3158,6.643,,23.7307,,25.1483,539.437,77.951,,658.453
1.4402,2.3346,0.8632,7.8712,0.2455,6.3,,14.4284,0.0002,0.0002,0.3281,6.6539,,24.6275,,26.0765,541.538,78.1865,,661.997
1.2781,1.7984,1.0916,8.3329,0.2259,4.8997,,13.4617,0.0002,0.0001,0.3527,6.6833,,23.3968,,24.6855,540.432,78.1964,,656.91
1.4049,2.1176,0.8669,7.8792,0.2835,6.3057,,14.4805,0.0002,0.0002,0.325,6.67,,24.4809,,25.8948,543.113,78.1803,,663.262
1.432,2.4854,1.4133,7.7756,0.2209,4.7563,,12.7633,0.0002,0.0002,0.337,6.7088,,23.7316,,25.173,547.943,78.4848,,667.56
1.4186,2.0953,0.8548,7.8881,0.3017,6.2794,,14.4763,0.0002,0.0001,0.3232,6.7021,,24.4721,,25.899,549.723,78.4526,,670.03
1.4052,2.4671,1.1258,8.4799,0.2179,4.8473,,13.5508,0.0002,0.0002,0.3067,6.7285,,24.1955,,25.6089,550.769,78.5609,,670.831
1.419,2.2033,0.8486,7.7846,0.2434,6.1923,,14.2308,0.0004,0.0002,0.3222,6.7738,,24.4011,,25.832,555.132,79.1216,,675.88
1.4218,2.3946,1.5222,8.0943,0.2216,4.86,,13.1874,0.0003,0.0002,0.3035,6.7309,,24.1585,,25.5892,553.394,79.3773,,674.28
1.4163,2.2764,0.8673,8.2986,0.2487,6.4929,,15.0488,0.0003,0.0002,0.3225,6.746,,25.2857,,26.7105,552.224,79.6208,,674.446
1.2809,1.8365,1.1622,8.2816,0.2438,5.0841,,13.6184,0.0002,0.0001,0.3652,6.7582,,23.7498,,25.0414,550.391,79.3757,,668.384
1.4087,2.1837,0.8474,7.7764,0.2367,6.2441,,14.2654,0.0002,0.0002,0.3754,6.7637,,24.4538,,25.8721,556.359,87.5461,,685.648
1.4265,2.2756,1.1829,7.7836,0.2148,5.3016,,13.3058,0.0002,0.0002,0.3143,6.7748,,23.8684,,25.3032,558.623,80.2485,,680.08
1.4195,2.147,0.8309,8.236,0.2531,6.5039,,15.0101,0.0003,0.0002,0.3236,6.7964,,25.1223,,26.5507,569.569,79.9896,,692.202
1.4424,2.411,1.2252,8.4721,0.2188,5.0162,,13.7199,0.0003,0.0002,0.332,6.8086,,24.5225,,25.9748,566.806,80.6225,,689.582
1.4315,2.1036,0.9038,8.3,0.2498,6.5478,,15.1067,0.0003,0.0002,0.3267,6.8104,,25.2727,,26.7128,564.199,80.4129,,687.312
1.4285,2.4375,1.1444,8.6518,0.2171,5.0569,,13.9362,0.0002,0.0002,0.3527,6.8276,,24.7205,,26.158,569.656,80.6074,,692.612
