Unnecessary Copy,Copy to GPU,Arrange data,Full count array and resize neighbour array,Execute kncomputeNeighboursCount and resize neighbour offsets,Execute exclusive_scan over counts,Count resize,Count GPU to CPU,Execute kncomputeNeighbours,Neighbour resize,Copy neighbour & offset to CPU,s,Compute neighbours,Copy sorting indexes to CPU,s,neighborhood search, constraint projection,XSPH viscosity computation,s,SimStep
0.7868,1.6952,13.9759,0.0593,0.0047,0.8047,0.0001,0.3177,2.1961,0.0001,6.1997,,9.6058,0.593,,26.6724,521.466,73.951,,635.189
0.8048,1.5412,12.8577,0.059,0.0029,1.0126,0.0001,0.3207,2.2209,0.0002,6.2317,,9.8682,0.5949,,25.6833,525.696,76.5514,,641.335
0.7901,1.7727,14.177,0.0612,0.0028,0.8086,0.0001,0.2983,2.1982,0.0002,6.2308,,9.6125,0.5934,,26.9598,529.128,75.4202,,644.706
0.8272,1.5452,12.6566,0.0615,0.0028,0.9712,0.0002,0.311,2.2446,0.0001,6.2431,,9.8494,0.5997,,25.4909,533.373,75.2567,,647.384
0.9257,1.0199,13.0247,0.0624,0.0034,0.738,0.0001,0.3275,2.205,0.0001,6.2706,,9.6194,0.6111,,25.2129,531.693,75.2187,,642.944
0.7889,1.5495,12.5908,0.0623,0.0029,1.0078,0.0002,0.3295,2.2449,0.0002,6.2719,,9.9389,0.5959,,25.4826,534.63,75.8187,,649.168
0.7867,1.798,13.8683,0.0562,0.0041,0.8142,0.0001,0.3196,2.2489,0.0001,6.3309,,9.7994,0.5913,,26.8613,539.729,76.3602,,656.123
0.782,1.5804,12.8164,0.0601,0.0024,1.0105,0.0001,0.3067,2.2464,0.0003,6.3136,,9.9564,0.5885,,25.7382,543.788,76.481,,659.076
0.7852,1.6551,13.9992,0.0577,0.0036,0.8021,0.0001,0.3087,2.2432,0.0003,6.318,,9.7537,0.5998,,26.8094,547.506,76.7148,,664.235
0.7851,1.607,12.8673,0.0608,0.004,1.0445,0.0001,0.3095,2.2684,0.0002,6.3664,,10.0772,0.6047,,25.965,548.722,76.3513,,664.303
0.7924,1.7203,14.1299,0.0609,0.0042,0.8091,0.0001,0.3216,2.2812,0.0002,6.3459,,9.8433,0.5935,,27.0987,551.179,77.1114,,668.556
0.7795,1.5737,12.9414,0.0589,0.005,1.095,0,0.3161,2.2714,0.0002,6.3512,,10.1146,0.5894,,26.0164,556.212,77.7647,,673.214
0.7891,1.0205,12.9535,0.052,0.0035,0.7515,0,0.3067,2.3331,0.0001,6.449,,9.9054,0.5952,,25.2756,551.309,77.2956,,664.883
0.7788,1.5567,12.8762,0.0565,0.0026,1.021,0.0001,0.3194,2.2903,0.0002,6.379,,10.0863,0.597,,25.9113,563.434,77.3553,,679.84
