,Unnecessary Copy,Copy to GPU,Arrange data,Full count array and resize neighbour array,Execute kncomputeNeighboursCount and resize neighbour offsets,Execute exclusive_scan over counts,Count resize,Set inverse offsets and counts,Execute kncomputeNeighbours,Neighbour resize,Inverse particle indexes,Copy neighbour data to CPU,Compute neighbours (Excluding),Compute neighbours,neighborhood search (Excluding),neighborhood search, constraint projection,XSPH viscosity computation,SimStep (Excluding),SimStep
367,0.7898,1.5085,12.9778,0.0611,0.0025,0.9974,0.0001,0.0878,2.7652,0.0002,8.6382,7.6047,,20.1758,,35.4708,628.551,90.5416,,771.588
368,0.8069,1.0567,13.4816,0.0787,0.0039,0.7826,0.0001,0.0719,2.7613,0.0002,8.4356,7.6691,,19.8207,,35.1839,623.969,86.8669,,763.185
369,0.7919,1.5861,12.8285,0.054,0.0048,0.7872,0.0001,0.0743,2.7472,0.0001,8.2857,7.6138,,19.5895,,34.8145,635.878,86.6196,,774.099
370,0.8054,1.7671,13.1397,0.0641,0.0051,1.0368,0.0001,0.0856,2.7627,0.0001,8.3324,7.6372,,19.9415,,35.6736,631.866,86.4411,,770.921
371,0.7782,1.633,13.0946,0.0593,0.0053,1.0194,0.0001,0.0892,2.7443,0.0002,8.5081,7.6016,,20.0521,,35.5789,643.894,92.3625,,788.758
372,0.7828,1.7755,14.5225,0.055,0.0045,0.7984,0.0002,0.0752,2.7611,0.0002,8.5378,7.6309,,19.8881,,36.9906,631.588,86.5171,,771.821
373,0.7438,1.5413,13.0307,0.0625,0.0038,0.8158,0,0.0693,2.8259,0.0001,8.4739,7.5923,,19.8582,,35.1909,635.902,86.4337,,774.133
374,0.777,1.5657,13.1663,0.0671,0.0043,1.0777,0.0001,0.0869,2.7534,0.0001,8.601,7.6043,,20.2129,,35.7397,634.841,86.6567,,773.887
375,0.751,1.7267,13.1058,0.0706,0.0046,1.0826,0.0001,0.0864,2.7502,0.0002,8.3382,7.6006,,19.9589,,35.5616,634.936,86.605,,773.853
376,0.7929,1.0581,13.5136,0.0772,0.0041,0.8107,0.0002,0.0756,2.7619,0.0001,8.4503,7.6595,,19.8556,,35.2383,625.412,86.8059,,762.233
377,0.7421,1.5813,12.7743,0.0621,0.0057,0.967,0.0001,0.0832,2.7279,0.0002,8.5091,7.5964,,19.9761,,35.0939,632.629,86.742,,771.202
378,0.7413,1.5646,13.2155,0.0672,0.006,1.0306,0.0001,0.1611,2.7451,0.0002,8.519,7.642,,20.1946,,35.7327,635.818,86.8961,,775.234
379,0.7791,1.7409,13.9182,0.0641,0.0027,0.8259,0.0001,0.0743,2.7702,0.0002,8.4818,7.6071,,19.8508,,36.3088,631.555,87.8955,,772.423
380,0.7785,1.5282,13.032,0.0515,0.0028,0.8283,0.0001,0.0737,2.7432,0.0002,8.3245,7.5993,,19.6445,,35.0021,630.125,86.547,,768.476
381,0.7511,1.5685,13.0345,0.0629,0.0051,1.02,0.0002,0.0877,2.7414,0.0002,8.5729,7.6047,,20.1126,,35.4834,631.156,90.1315,,773.601
